;Purchase;Organisation;Price;Date
84;"СМР по ограждению водозаборных сооружений СП ""Энергетик""";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";4900000;13.05.2013
85;Оказание услуг по содержанию и уборке производственных и служебных помещений, уборке территории, вывозу и утилизации бытовых отходов девятиэтажного здания жилого назначения (пр. Энергетиков д. 18.);"Акционерное общество ""Концерн Роснергоатом"" филиал ""Калининская атомная станция""";1974140;16.05.2013
86;"Выполнение работ по ремонту лечебных кабинетов, жилых комнат, лестничных клеток корпусов СП ""Энергетик""";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";4978942;04.06.2013
87;Поставка аптечек АП (для персонала предприятий атомной энергетики) и АИ-2 (индивидуальная), согласно техническим требованиям Кольской АЭС;"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Кольская АЭС""";2501667;30.04.2013
88;Разработка технологической схемы (геологический проект) добычи подземных вод объекта энергетики с оформлением гос. экспертизы;"Филиал АО ""Концерн Росэнергоатом"" ""Ростовская атомная станция""
Заказчик:ОАО ""Концерн Росэнергоатом""";943684;23.05.2013
89;"Выполнение ПНР по проекту: ""Строительство газовой котельной СП ""Энергетик""";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";1738200;21.05.2013
90;Повышение надежности, эффективности, безопасности эксплуатации тепломеханического оборудования по теме: «Разработка рекомендаций по совершенствованию эксплуатации тепломеханического оборудования АЭС по результатам обследования экспертами предприятий тепловой энергетики состояния ТМО БАЛ АЭС, РСТ АЭС, ЛЕН АЭС»;"Технологический филиал АО ""Концерн Росэнергоатом""
Заказчик:ОАО ""Концерн Росэнергоатом""";3186000;10.04.2013
91;Проектирование, поставка, монтаж и наладка системы кондиционирования воздуха корпуса АБК в помещениях - №307- №311, №408, №409, №605/1, №608, №609), в здании РСУ (комната отдыха), в здании СГЭ (кабинет Главного энергетика, комнаты мастеров).;"Закрытое акционерное общество ""Новосибирскэнергоснабкомплектоборудование""
Заказчик:ЗАО ""ПРП""";465000;26.04.2013
92;Рассмотрение, анализ и проверка на соответствие требованиям норм и правил в атомной энергетике документов, обосновывающих достаточный уровень ядерной и радиационной безопасности при проведении технического освидетельствования, регистрации, внесении изменений в паспорта, снятии с регистрации оборудования и трубопроводов, внесении изменений в эксплуатационную документацию после выполнения работ по модернизации на 3,4,5 энергоблоках НВАЭС;"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";1221157;11.06.2013
93;Обустройство объекта периметральным ограждением и техническими средствами охраны.;"Закрытое акционерное общество ""Новосибирскэнергоснабкомплектоборудование""
Заказчик:ООО ""Пансионат Энергетик""";;20.05.2013
94;Лот №1 Благоустройство территории;Интегратор ММВБ;10357724;26.01.2015
95;"Лот №1 Строительство зданий и сооружений ""под ключ"", включая ремонт и реконструкцию";Интегратор ММВБ;4317357;26.01.2015
96;Лот №1 Проектная документация и технико-экономическое обоснование продукции;Интегратор ММВБ;2436516;26.01.2015
97;Лот №1 Укладка трубопроводов на наружных сетях;Интегратор ММВБ;1497621;26.01.2015
98;Лот №1 Системные и прикладные программные средства;Интегратор ММВБ;846600;26.01.2015
99;Лот №1 Электронно-вычислительная техника, ее детали и принадлежности;Интегратор ММВБ;546500;26.01.2015
100;Поставка трансформаторных подстанций;"ЗАО ""Распределенная энергетика""
Заказчик:ЗАО ""Распределенная энергетика""";61500000;24.05.2013
101;Поставка кабельной продукции;"ЗАО ""Распределенная энергетика""
Заказчик:ЗАО ""Распределенная энергетика""";7600000;27.07.2013
102;Выполнение работ по разработке траншей и прокладке кабельных линий в г. Ахтубинск, Астраханская обл. (СМР);"ЗАО ""Распределенная энергетика""
Заказчик:ЗАО ""Распределенная энергетика""";;03.06.2013
